Clothing ID,Age,Title,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,Active Time,Price
1078,37,Loved his dress!,5,1,7,General,Dresses,Dresses,12.051959347062306,142.72184163845992
1022,38,Great fabric,5,1,10,General,Bottoms,Jeans,11.990919662987388,47.738837417878905
576,51,Just what i expected!,4,1,0,General,Bottoms,Shorts,10.61300997881972,57.95617693652049
1081,33,Nice dress but,3,0,1,General Petite,Dresses,Dresses,6.445729448217973,48.72474037700751
1087,41,Sent it back,2,0,0,General Petite,Dresses,Dresses,25.830711694332457,54.25914449235757
1089,29,Stunning,5,1,5,General Petite,Dresses,Dresses,7.292283083214907,119.57670218190464
1078,41,Slightly annoyed,3,1,6,General,Dresses,Dresses,6.213208483952247,46.31152431451817
1098,62,Gorgeous but overpriced,4,1,35,General,Dresses,Dresses,5.558433352049661,123.8367480216804
872,52,Very cute,5,1,1,General Petite,Tops,Knits,10.836006371429328,41.74963865419403
1078,39,Heavy tenty swingy,4,1,4,General,Dresses,Dresses,9.066940573277876,60.98389055627899
917,26,Love love love,5,1,0,General,Tops,Fine gauge,12.276856509350528,42.651202689552655
1033,47,Jeans too heavy and large,3,0,0,General Petite,Bottoms,Jeans,19.55167588109183,128.4989234440988
820,41,Wanted to love it but way too short!!!,2,0,11,General,Tops,Blouses,25.44110706862383,75.71762707417986
408,34,,3,0,0,Initmates,Intimate,Swim,21.344905463532555,42.34351324905181
862,43,A tent,1,0,0,General Petite,Tops,Knits,44.88221283162535,42.40832716996492
1110,44,Hourglass figure gals rejoice,5,1,2,General Petite,Dresses,Dresses,11.855457315976963,141.67480179370733
936,32,Sweater not a coat,2,0,0,General Petite,Tops,Sweaters,18.53112807994086,41.48928688088937
862,38,Pefect!,5,1,1,General,Tops,Knits,12.017352400378062,48.96595465673185
332,39,Not last year's cut,3,0,3,General,Bottoms,Shorts,5.023560795163611,58.511802030536565
1110,47,Lot's of compliments,5,1,3,General,Dresses,Dresses,9.859929223633912,46.87973554268457
1096,42,Beautiful special occasion dress!,5,1,0,General,Dresses,Dresses,3.62927759775573,81.1494318081314
861,52,Super soft t-shirt,5,1,0,General Petite,Tops,Knits,11.042725701239798,64.82373123650395
829,46,Very feminine!,5,1,4,General,Tops,Blouses,11.648749496678152,41.206245172324216
877,47,Poor quality and unflattering,2,0,2,General Petite,Tops,Knits,13.075676884432504,79.27112420108237
1083,28,Piece of art!,5,1,0,General,Dresses,Dresses,10.12156565688914,113.66347833708896
1025,36,Perfect for the vertically challenged!,5,1,0,General Petite,Bottoms,Jeans,10.15983054533802,46.88400493336447
895,36,,5,1,0,General Petite,Tops,Fine gauge,11.921481535529328,52.556725639603314
1078,23,"High quality, on trend",4,1,1,General,Dresses,Dresses,16.016887416143053,87.19704952441768
866,51,,4,1,0,General,Tops,Knits,3.173037215482511,80.28945750606934
861,53,Pretty tee,5,1,1,General,Tops,Knits,7.26985725137374,68.5439740448999
1035,37,"Cute jeans, terrible quality!",1,0,0,General,Bottoms,Jeans,29.45668376402282,81.92862480292726
863,74,,5,1,0,General Petite,Tops,Knits,13.377052980188306,52.15474276794175
862,52,Comfy,4,1,0,General,Tops,Knits,5.460491661520748,57.8376957200727
949,37,New fall staple,5,1,0,General,Tops,Sweaters,2.304187252202736,107.26056918980017
938,48,Great casual sweater with lovely details,5,1,0,General Petite,Tops,Sweaters,3.3728534074560432,100.82138132301732
831,50,Beautiful blouse,5,1,1,General Petite,Tops,Blouses,11.19121344825844,26.344782557092987
473,36,Beautiful and stylish,5,1,0,General Petite,Bottoms,Pants,12.472299963233024,63.05687148043351
1078,60,Cute and comfortable peasant dress,4,1,0,General Petite,Dresses,Dresses,13.116787705702052,76.8548147294178
1022,52,Slimming and comfortable,5,1,8,General,Bottoms,Jeans,11.763207238793337,70.76059971356847
1078,42,Looks exactly like the picture,4,1,0,General Petite,Dresses,Dresses,8.193655233599761,75.18150186788988
939,35,Could do better,4,1,10,General,Tops,Sweaters,13.80892730494137,85.10446834405514
947,45,Love this!!,5,1,12,General,Tops,Sweaters,5.008884247447231,95.97565128184462
1044,50,Not flattering if you have thighs!,2,0,1,General,Bottoms,Pants,5.914072044654646,70.74347637544335
822,34,,5,1,0,General Petite,Tops,Blouses,7.745989648800304,62.145172816027625
1092,23,Love the dress just not on,4,1,1,General,Dresses,Dresses,2.751764314223512,95.18845393587524
1082,58,,4,1,1,General Petite,Dresses,Dresses,7.396543081189629,86.25988014539709
819,31,,4,1,1,General,Tops,Blouses,12.49778282765858,67.8305075073486
1094,41,Cute!,5,1,34,General Petite,Dresses,Dresses,7.444386011786348,112.7160410929773
663,20,Casual & cute,5,1,0,Initmates,Intimate,Lounge,5.406608197671456,122.5995514992308
1085,44,Nope,2,0,3,General Petite,Dresses,Dresses,7.770590203438052,60.68959718535931
1082,48,Classic comfy chic,4,1,3,General,Dresses,Dresses,9.892647753737016,91.91928942588012
822,43,Not great,3,0,1,General,Tops,Blouses,13.898147744062763,56.03235700266956
860,66,Darling but size down,3,1,0,General,Tops,Knits,10.783959648853576,59.10976262209434
1078,39,"Like enough, but passed",4,1,0,General,Dresses,Dresses,3.589737934639549,105.85524536119674
949,38,Terrible fit,1,0,0,General,Tops,Sweaters,16.434802421329803,106.0118544899949
1110,37,Super cute and worth the splurge!,5,1,10,General,Dresses,Dresses,11.173472691671844,82.54901773264694
828,39,,4,1,2,General,Tops,Blouses,4.101536640053306,38.014214912843
895,39,Buttons -buttons so cute!,5,1,0,General,Tops,Fine gauge,12.008156961057429,44.26419761060095
870,31,,5,1,2,General Petite,Tops,Knits,10.234431400238284,109.10293649250256
868,35,,4,1,0,General,Tops,Knits,15.893097761099728,88.77367425574255
1110,33,Not the same fit as ribboned denim dress,4,1,14,General Petite,Dresses,Dresses,5.349002260538236,58.95839733192975
1022,57,So happy i treated myself!,5,1,2,General Petite,Bottoms,Jeans,12.233584430251357,43.19029288330803
1083,36,Beautiful unique dress,5,1,5,General,Dresses,Dresses,3.937758499127674,41.52746933571957
828,39,Versatile shirt,3,1,30,General,Tops,Blouses,5.718394679948128,55.29087257871156
1020,44,Beautiful skirt,5,1,1,General,Bottoms,Skirts,12.933984466710717,59.90960799282925
946,36,Umm what is this,1,0,1,General,Tops,Sweaters,34.338205328590924,64.99294663527799
392,49,Please offer this in more colors retailer!,5,1,2,Initmates,Intimate,Swim,5.445003467188519,40.793399944084726
1011,38,Pretty skirt but very long,3,1,1,General,Bottoms,Skirts,9.712675763706534,68.61905541869297
245,31,Love,5,1,1,Initmates,Intimate,Layering,5.620637086288129,56.95702220314927
820,39,Old retailer,4,1,6,General,Tops,Blouses,8.23901446483448,25.24967240441746
1110,35,So close,4,1,3,General Petite,Dresses,Dresses,6.804202829588439,71.08018236824613
867,27,"Cute on the model, too tight in person",2,0,0,General Petite,Tops,Knits,19.68808052046628,85.94477216577887
1082,49,Casual chic dress,4,1,1,General Petite,Dresses,Dresses,16.188920383051567,139.21428025362593
1100,35,,3,0,4,General Petite,Dresses,Dresses,5.8325285254423616,49.02543361170322
834,31,Maeve delivers again!,5,1,1,General Petite,Tops,Blouses,8.155941037785361,61.54248346932533
964,44,Perfection.,5,1,1,General,Jackets,Jackets,4.639999590973229,161.05685892087052
868,35,Stylish and comfy,4,1,0,General,Tops,Knits,14.928437867138925,36.06052780490089
964,28,Too large and too small at the same time,2,0,12,General,Jackets,Jackets,19.487442019371667,138.2314042150607
819,55,Unusual and gorgeous,5,1,0,General,Tops,Blouses,9.785009112399043,56.302207601370014
833,47,A beautiful work of art!,5,1,3,General,Tops,Blouses,10.940596789761225,74.4043194553456
1110,24,Beautiful and flowy,5,1,31,General,Dresses,Dresses,3.6442204688232938,145.8363808633809
1089,51,,4,1,0,General Petite,Dresses,Dresses,7.549420108462522,48.806000649027744
904,37,Beautiful top -- runs large!!,4,0,10,General Petite,Tops,Fine gauge,7.087809491534779,42.7586563058605
