ClothID,Age,Review Title,Customer Rating,Positive Review Count,Section,Department,Category,Online Time,Cost,Recommended IND
1081.0,57,Beautiful!,4.0,9.0,General,Dresses,Dresses,4.970955592973476,79.13176670755732,1
886.0,36,Cute top with right undershirt,5.0,10.0,General,Tops,Knits,12.625583281283348,59.555422277691946,1
1083.0,46,Not for single girls :-(,3.0,3.0,General,Dresses,Dresses,10.261413689409672,95.40294686340027,0
866.0,42,Swingy and cute but too wide,2.0,0.0,General Petite,Tops,Knits,13.25924862594878,95.32886012999018,0
603.0,51,Gorgeous shorts,3.0,0.0,General,Bottoms,Shorts,10.12593911039222,54.780615299760925,1
862.0,43,Great spring top,5.0,0.0,General,Tops,Knits,3.99856981379769,54.32582449830312,1
1094.0,46,Abroad dress,3.0,2.0,General Petite,Dresses,Dresses,17.740803833261154,54.3949439583816,0
1008.0,31,"The perfect skirt for all year, every year.",5.0,0.0,General Petite,Bottoms,Skirts,10.238077022877796,60.06071956450725,1
877.0,75,Perfect western scene,5.0,0.0,General,Tops,Knits,4.896495129767142,36.55248078398664,1
860.0,37,Light and breezy,3.0,0.0,General,Tops,Knits,16.937254164412327,47.3418104966173,1
1078.0,31,Beautiful color and fabric,4.0,5.0,General Petite,Dresses,Dresses,14.80194460128233,83.0155043451116,1
868.0,24,Romantic ruffled tee,5.0,1.0,General Petite,Tops,Knits,12.411425144411618,41.217655716351295,1
861.0,69,Great t,1.0,0.0,General,Tops,Knits,47.20036006548847,37.81675713973124,1
1083.0,32,Amazing dress!!,5.0,1.0,General,Dresses,Dresses,8.982713334324608,46.0949178641271,1
513.0,27,Wonderful one piece,5.0,1.0,Intimates,Intimate,Swim,12.057333719102331,49.42433582299498,1
1104.0,67,Little black winter dress,4.0,0.0,General,Dresses,Dresses,13.103219522318122,131.46533935419473,1
876.0,64,Boxy but pretty,4.0,1.0,General,Tops,Knits,5.240651680676512,91.87043983254212,1
866.0,26,"Cute top, but back is more of a jersey material",4.0,0.0,General,Tops,Knits,8.977369836299903,51.34206594949914,1
1094.0,42,Great dress but cut too low,3.0,1.0,General Petite,Dresses,Dresses,16.661808341561706,57.454192740479584,0
1078.0,37,Stunning!,5.0,14.0,General,Dresses,Dresses,3.740091495118609,46.45685419717204,1
861.0,49,Comfort and style,5.0,0.0,General,Tops,Knits,8.902803917027217,89.60585510701567,1
831.0,47,Beautiful blouse with lovely cotton-lace detail,4.0,4.0,General,Tops,Blouses,9.178293669094607,69.6203863773343,1
282.0,28,"Comfy, summery",5.0,0.0,General,Bottoms,Shorts,5.748766591680366,34.12804007752656,1
